44328;Adaaran Club Rannalhi Maldives
43682;Adaaran Prestige Vadoo Maldives
60223;Adaaran Prestige Water Villas Maldives
43755;Adaaran Select Hudhuran Fushi - Premium All Inclusive Resort Maldives
43492;Adaaran Select Meedhupparu - Premium All Inclusive Resort Maldives
43601;Alila Kothaifaru Maldives
43862;Amari Havodda Maldives
49954;Amaya Kuda Rah Maldives Resort
59313;Amilla Maldives Resort & Residences
59520;Anantara Dhigu Maldives Resort
50035;Anantara Kihavah Maldives Villas
50240;Anantara Veli Maldives Resort
50425;Angsana Ihuru
50308;Angsana Velavaru
43986;Atmosphere Kanifushi Maldives
44133;Ayada Maldives
50484;Baglioni Resort Maldives
50588;Bandos Maldives
50708;Banyan Tree Vabbinfaru
44231;Baros Maldives
50776;Biyadhoo Island Resort
44400;Brennia Kottefaru
44487;Canareef Resort Maldives
50831;Centara Grand Island Resort & Spa Maldives
50914;Centara Ras Fushi Resort & Spa Maldives
51013;Cinnamon Dhonveli Maldives
51108;Cinnamon Hakuraa Huraa Maldives
44554;Cinnamon Velifushi Maldives
51183;Coco Bodu Hithi Resort
51262;Coco Palm Dhuni Kolhu Resort
44632;Cocoon Maldives
49380;Como Cocoa Island Maldives
51331;Como Maalifushi Maldives
44740;Conrad Maldives Rangali Island
44870;Constance Halaveli Maldives
44952;Constance Moofushi Maldives
51406;Cora Cora Maldives
45024;Dhigali Maldives
45324;Dhigufaru Island Resort
51593;Diamonds Athuruga Maldives
51676;Diamonds Thudufushi Maldives
51759;Dreamland Maldives Resort & Spa
45428;Drift Thelu Veliga Retreat Maldives
45481;Dusit Thani Maldives
51819;Ellaidhoo Maldives By Cinnamon
51894;Embudu Village Maldives
51956;Emerald Faarufushi Resort & Spa
52059;Emerald Maldives Resort & Spa
52183;Eriyadu Island Resort Maldives
47793;Fairmont Maldives Sirru Fen Fushi
52253;Fihalhohi Island Resort Maldives
45580;Filitheyo Island Resort
52305;Finolhu Baa Atoll Maldives
60483;Fiyavalhu Resort Maldives
45691;Four Seasons Resort Maldives at Kuda Huraa
45818;Four Seasons Resort Maldives at Landaa Giraavaru
45945;Furaveri Maldives
59003;Fushifaru Maldives
46083;Gangehi Island Resort & Spa
52420;Gili Lankanfushi Maldives
46169;Grand Park Kodhipparu Maldives
52561;Hard Rock Hotel Maldives
49472;Heritance Aarah
60052;Hideaway Beach Resort & Spa
52674;Hilton Maldives Amingiri Resort & Spa
46290;Holiday Inn Resort Kandooma Maldives
46432;Hondaafushi Island Resort
52746;Hurawalhi Island Resort Maldives
52823;Huvafen Fushi
46490;Innahura Maldives Resort
52934;InterContinental Maldives Maamunagau Resort
53004;JA Manafaru Maldives
53217;JOALI BEING
59102;JOALI Maldives
46576;Jumeirah Maldives Olhahali Island
53300;JW Marriott Maldives Resort & Spa
53384;Kagi Maldives Spa Island
46746;Kandima Maldives
53465;Kandolhu Maldives
53554;Kihaa Maldives
53642;Komandoo Maldives Island Resort
46858;Kuda Villingili Resort Maldives
49568;Kudadoo Maldives Private Island
53733;Kudafushi Resort & Spa
53828;Kuramathi Island Maldives
53946;Kuredu Resort & Spa Maldives
46967;Kurumba Maldives
54085;Le Méridien Maldives Resort & Spa
54264;Lily Beach Resort & Spa at Huvahendhoo Maldives
54354;LUX* South Ari Atoll
54468;Makunudu Island
54517;Malahini Kuda Bandos
47050;Medhufushi Island Resort
54579;Meeru Island Resort & Spa
60798;Mercure Maldives Kooddoo Resort
47142;Milaidhoo Maldives
47218;Mirihi Island Resort
54668;Mövenpick Resort Kuredhivaru Maldives
51537;Nakai Dhiggiri Resort
59851;Naladhu Private Island Maldives
54810;Nika Island Resort & Spa Maldives
54908;Niyama Private Islands Maldives
55093;Noku Maldives 
59729;Nova Maldives
55192;OBLU NATURE Helengeli
55330;OBLU SELECT Sangeli
55540;One & Only Reethi Rah
49637;Outrigger Maldives Maafushivaru Resort
47295;Ozen Life Maadhoo
59204;Ozen Reserve Bolifushi
49734;Paradise Island Resort
55797;Park Hyatt Maldives Hadahaa
55864;Patina Maldives Fari Islands
47380;Pullman Maldives All-Inclusive Resort
56055;Radisson Blu Resort Maldives
56163;Raffles Maldives Meradhoo
47467;Rahaa Resort
47532;Reethi Beach Resort 
47622;Reethi Faru Resort
49865;Rihiveli Maldives Resort
60573;Hotel Riu Atoll Maldives
56329;Hotel Riu Palace Maldivas
56405;Robinson Maldives
56497;Robinson Noonu
56607;Royal Island Resort
60737;Safari Island Resort
56697;SAii Lagoon Maldives, Curio Collection by Hilton
47719;Sandies Bathala Maldives
56967;Sheraton Maldives Full Moon Resort & Spa
47935;Six Senses Laamu
56809;Siyam World Maldives
57114;Soneva Fushi
48026;Soneva Jani
48237;South Palm Resort Maldives
48336;Summer Island Maldives
57298;Sun Island Resort & Spa
58292;Sun Siyam Iru Fushi
57440;Sun Siyam Iru Veli
57527;Sun Siyam Olhuveli
57630;Sun Siyam Vilu Reef
57745;Taj Coral Reef Resort & Spa, Maldives
57874;Taj Exotica Resort & Spa, Maldives
60653;The Barefoot Eco Hotel
48434;The Nautilus Beach & Ocean Houses Maldives
